품목명,날짜,생산,수입,판매
Calamari,2015-01-01,21010,12406,26306
Calamari,2015-02-01,8671,9697,24239
Calamari,2015-03-01,15366,11958,23325
Calamari,2015-04-01,39179,13432,64814
Calamari,2015-05-01,32441,12417,41296
Calamari,2015-06-01,52751,11637,63149
Calamari,2015-07-01,19987,11176,28435
Calamari,2015-08-01,24057,11295,35838
Calamari,2015-09-01,20879,13166,33859
Calamari,2015-10-01,20685,14888,35496
Calamari,2015-11-01,29584,10826,38188
Calamari,2015-12-01,47929,10802,48062
Calamari,2016-01-01,21194,13673,40993
Calamari,2016-02-01,4556,12547,23679
Calamari,2016-03-01,4754,14959,25516
Calamari,2016-04-01,7548,9417,28115
Calamari,2016-05-01,2021,10796,24057
Calamari,2016-06-01,10455,13586,27103
Calamari,2016-07-01,6841,10739,24136
Calamari,2016-08-01,16490,17527,35927
Calamari,2016-09-01,10558,14573,27406
Calamari,2016-10-01,18921,13410,32957
Calamari,2016-11-01,20418,14077,36090
Calamari,2016-12-01,32216,14212,38967
Calamari,2017-01-01,13630,16598,27740
Calamari,2017-02-01,4931,15566,22928
Calamari,2017-03-01,835,17419,21724
Calamari,2017-04-01,12716,15743,30183
Calamari,2017-05-01,10019,16834,28355
Calamari,2017-06-01,5560,19172,26557
Calamari,2017-07-01,11450,15257,26844
Calamari,2017-08-01,21823,16777,35267
Calamari,2017-09-01,12914,13641,26346
Calamari,2017-10-01,10325,10059,20731
Calamari,2017-11-01,11119,11080,22157
Calamari,2017-12-01,13018,15349,26645
Calamari,2018-01-01,8473,26372,33062
Calamari,2018-02-01,775,15765,17944
Calamari,2018-03-01,295,18136,19903
Calamari,2018-04-01,52,23665,25771
Calamari,2018-05-01,15131,25119,39195
Calamari,2018-06-01,16920,19907,35291
Calamari,2018-07-01,16634,20713,37289
Calamari,2018-08-01,7005,21711,28571
Calamari,2018-09-01,7076,18745,26078
Calamari,2018-10-01,11856,22027,33727
Calamari,2018-11-01,2918,16961,20469
Calamari,2018-12-01,7031,15596,21938
Calamari,2019-01-01,10157,18463,29984
Calamari,2019-02-01,4970,11800,18786
Calamari,2019-03-01,1264,21032,19412
Calamari,2019-04-01,2179,22361,25583
Calamari,2019-05-01,1778,25324,28223
Calamari,2019-06-01,11951,19804,32103
Calamari,2019-07-01,17065,23860,37215
Calamari,2019-08-01,12054,27175,35904
Calamari,2019-09-01,7330,20369,25443
Calamari,2019-10-01,2027,18931,23951
Calamari,2019-11-01,805,15195,18051
Calamari,2019-12-01,2178,15665,17052
Calamari,2020-01-01,5451,23643,30642
Calamari,2020-02-01,4794,10991,16013
Calamari,2020-03-01,4514,14594,17411
Calamari,2020-04-01,301,15087,18722
Calamari,2020-05-01,1011,14650,14457
Calamari,2020-06-01,4389,16221,18965
Calamari,2020-07-01,5161,18745,24069
Calamari,2020-08-01,6477,25675,28591
Calamari,2020-09-01,8031,32068,39386
Calamari,2020-10-01,6409,36445,43625
Calamari,2020-11-01,4184,38894,39560
Calamari,2020-12-01,5898,29381,33970
Calamari,2021-01-01,6133,26409,32055
Calamari,2021-02-01,2164,20955,28584
Calamari,2021-03-01,2616,23964,26569
Calamari,2021-04-01,10096,21516,34794
Calamari,2021-05-01,25677,26377,52281
Calamari,2021-06-01,31238,18308,46506
Calamari,2021-07-01,8459,17125,25012
Calamari,2021-08-01,15553,16973,31108
Calamari,2021-09-01,16713,22034,33157
Calamari,2021-10-01,16964,19409,35814
Calamari,2021-11-01,2188,22574,28095
Calamari,2021-12-01,1674,19534,20082
Calamari,2022-01-01,1510,15303,18175
Calamari,2022-02-01,1641,15477,17759
Calamari,2022-03-01,533,23199,25341
Calamari,2022-04-01,23,11190,12810
Calamari,2022-05-01,1078,19050,21167
Calamari,2022-06-01,2298,12882,16346
Calamari,2022-07-01,8713,20677,29100
Calamari,2022-08-01,9895,27253,32937
Calamari,2022-09-01,4992,20432,24795
Calamari,2022-10-01,3708,26025,29383
Calamari,2022-11-01,1148,20084,23391
Calamari,2022-12-01,1804,31417,33905
Calamari,2023-01-01,1360,13632,16644
Calamari,2023-02-01,515,20915,23841
Calamari,2023-03-01,8299,23605,34714
Calamari,2023-04-01,7625,26744,35664
Calamari,2023-05-01,4709,30228,35098
Calamari,2023-06-01,8588,29891,38222
Calamari,2023-07-01,10217,22051,31619
Calamari,2023-08-01,10562,20388,28178
Calamari,2023-09-01,4334,20767,26654
Calamari,2023-10-01,3202,21942,25451
Calamari,2023-11-01,831,23472,25291
Calamari,2023-12-01,595,16806,19193
Calamari,2024-01-01,772,23490,25277
Calamari,2024-02-01,198,15735,15933
Calamari,2024-03-01,95,15763,19276
Calamari,2024-04-01,4482,18959,23455
Calamari,2024-05-01,650,21108,20038
Calamari,2024-06-01,1598,18950,18895
Calamari,2024-07-01,1564,19802,20403
Calamari,2024-08-01,3275,24581,26219
Calamari,2024-09-01,3073,20151,23252
Calamari,2024-10-01,1184,24016,25619
Calamari,2024-11-01,286,17082,17985
Calamari,2024-12-01,787,14412,15304
Calamari,2025-01-01,929,12011,14298
Calamari,2025-02-01,200,9980,11869
Calamari,2025-03-01,135,16353,17873
Calamari,2025-04-01,6,22571,23194
Calamari,2025-05-01,682,26182,25735
Calamari,2025-06-01,3428,27712,28450
Calamari,2025-07-01,1055,31362,30183
