retail_pk,item_pk,month_date,production,inbound,sales,ground_pk,temperature,rain,month_num,item_name_Calamari,item_name_CutlassFish,item_name_Mackerel
1,1,2025-01-01,929,929,14298,1,-0.2,16.9,24301,True,False,False
15,3,2025-01-01,20373,20373,18914,1,-0.2,16.9,24301,False,False,True
8,2,2025-01-01,971,971,831,1,-0.2,16.9,24301,False,True,False
2,1,2025-02-01,200,200,11869,2,-0.5,15.7,24302,True,False,False
16,3,2025-02-01,6168,6168,19138,2,-0.5,15.7,24302,False,False,True
9,2,2025-02-01,987,987,86,2,-0.5,15.7,24302,False,True,False
3,1,2025-03-01,135,135,17873,3,7.6,48.3,24303,True,False,False
17,3,2025-03-01,9508,9508,7439,3,7.6,48.3,24303,False,False,True
10,2,2025-03-01,1140,1140,3181,3,7.6,48.3,24303,False,True,False
18,3,2025-04-01,7182,7182,18087,4,13.1,67.3,24304,False,False,True
11,2,2025-04-01,1420,1420,2378,4,13.1,67.3,24304,False,True,False
4,1,2025-04-01,6,6,23194,4,13.1,67.3,24304,True,False,False
12,2,2025-05-01,1164,1164,2475,5,16.8,117.3,24305,False,True,False
5,1,2025-05-01,682,682,25735,5,16.8,117.3,24305,True,False,False
19,3,2025-05-01,1642,1642,13370,5,16.8,117.3,24305,False,False,True
13,2,2025-06-01,3481,3481,6720,6,22.9,184.7,24306,False,True,False
6,1,2025-06-01,3428,3428,28450,6,22.9,184.7,24306,True,False,False
20,3,2025-06-01,9959,9959,6840,6,22.9,184.7,24306,False,False,True
14,2,2025-07-01,530,530,257,7,27.1,247.6,24307,False,True,False
7,1,2025-07-01,1055,1055,30183,7,27.1,247.6,24307,True,False,False
21,3,2025-07-01,5651,5651,20687,7,27.1,247.6,24307,False,False,True
