지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,강수량,적설량
강원,2025-01-01,11.2,33.5,10.5,0.9,6.8,4.8,14.5,0
강원,2025-02-01,8.7,33.6,13.2,0.9,7.1,2,0,0
강원,2025-03-01,8.3,33.3,15.2,1,6,2.1,98.4,0
강원,2025-04-01,9.6,33.3,12.4,0.7,5.6,1.6,48.2,0
강원,2025-05-01,12.3,33.1,14.1,0.5,5,1.3,72.2,0
강원,2025-06-01,16.6,33.3,34.8,0.5,4.5,1.3,30.2,0
강원,2025-07-01,21,32.7,37.7,0.4,4.5,4.1,148.6,0
경기,2025-01-01,3.8,31.4,31.2,1.3,3.9,4.8,19.6,6.3
경기,2025-02-01,2.2,30.6,31.6,1.5,5.1,4,3.5,3.3
경기,2025-03-01,5.6,30.7,33.1,1,5.4,3.7,26.5,3.6
경기,2025-04-01,10.3,30.6,32.4,0.8,5.2,4.3,106.2,0
경기,2025-05-01,15,30.5,31.6,0.4,5.1,3.2,98.2,0
경기,2025-06-01,20.4,29.9,31.5,0.7,5.3,2.8,147.9,0
경기,2025-07-01,24.7,28.7,30.7,0.7,6.4,2.7,260.1,0
경북,2025-01-01,8.9,33.2,15.7,1.3,6.8,8.1,11.8,0
경북,2025-02-01,8,33.4,34.8,1.5,7.1,8.3,1.2,0
경북,2025-03-01,10.6,33.1,37.7,1.2,6.3,7.2,56.7,0
경북,2025-04-01,13.4,33.5,22.6,0.8,5.2,6.4,41.8,0
경북,2025-05-01,15.5,33,36.9,0.8,5.2,5.6,135.9,0
경북,2025-06-01,19.3,32.7,24.5,0.5,4.9,5,150.2,0
경북,2025-07-01,23.7,31.9,15.9,0.5,4.7,5.3,120,0
부산,2025-01-01,11.2,33.7,3.3,0.7,6.4,2.1,7.6,0
부산,2025-02-01,10.2,33.9,3,0.7,7,2.2,32,0
부산,2025-03-01,11.4,34,3.5,1.3,6.3,2.1,52,0
부산,2025-04-01,13,33.9,5.3,0.8,5.3,4.7,75.3,0
부산,2025-05-01,15,33.5,5.6,0.3,5,4.7,132.7,0
부산,2025-06-01,17.5,32.6,5.4,0.5,4.8,6.1,292.7,0
부산,2025-07-01,23.4,31,10.4,0.6,5.2,5.7,241.8,0
전남,2025-01-01,7.4,30.7,30.2,0.3,3.9,2.3,19.8,4.6
전남,2025-02-01,5.8,30.5,30.2,0.4,3.6,2.6,42.3,12.7
전남,2025-03-01,7.6,30.6,32.2,0.4,4.6,2.7,33.2,0.6
전남,2025-04-01,11.8,31.3,30.7,0.4,4.6,2.7,43.5,0
전남,2025-05-01,16,30.7,29.4,0.4,4.7,2.8,109.5,0
전남,2025-06-01,20.4,28.4,28.5,0.4,5,2.4,207.4,0
전남,2025-07-01,24.1,25.2,30.9,0.6,6,2.5,273.2,0
전북,2025-01-01,5.3,29.7,34.7,0.4,5.4,4.1,44.8,0
전북,2025-02-01,3.9,29.5,35.9,1.1,5.1,5.4,35.6,0
전북,2025-03-01,6.8,29.3,37.5,1.3,5.4,3.4,43,0
전북,2025-04-01,11.5,29.3,35,0.8,4.8,3,62.6,0
전북,2025-05-01,15.7,29.5,31.3,0.6,4.2,3,82.9,0
전북,2025-06-01,20.6,28.3,29.7,0.5,4,5.9,317.6,0
전북,2025-07-01,24.4,27.6,28.2,0.4,3.9,5,209,0
제주,2025-01-01,14.7,34,15.1,0.4,6,4.7,25.4,0.8
제주,2025-02-01,13.4,34.1,16.1,0.4,6.2,5.1,61.4,2.8
제주,2025-03-01,13.6,34.1,16.5,0.7,6,3.2,82.5,0
제주,2025-04-01,15.2,34.1,16.3,0.6,5.7,2.6,23.9,0
제주,2025-05-01,16.3,33.8,17,0.5,5.6,3.2,81.8,0
제주,2025-06-01,19.3,32.9,16.2,0.6,5.8,7.7,85.1,0
제주,2025-07-01,25.3,31.4,15.3,1.1,6.6,5.8,141.9,0
충남,2025-01-01,4.7,31.8,33.2,0.5,4.4,4.8,38.9,0
충남,2025-02-01,2.8,31.9,34.3,0.5,4.4,4,10.2,0
충남,2025-03-01,5.6,32,36.3,0.4,4.2,3.6,39.7,0
충남,2025-04-01,10.6,32,33.8,0.4,4.1,4.7,65.9,0
충남,2025-05-01,15.1,31.9,31.1,0.4,3.9,3.5,73.7,0
충남,2025-06-01,19.9,31.9,29.4,0.4,4,3.2,99.9,0
충남,2025-07-01,23.3,31.5,30.7,0.4,5.4,3,597.3,0
통영,2025-01-01,8.6,33.2,29.1,0.4,4.8,5.7,7.4,0
통영,2025-02-01,7.3,33.4,28.2,0.4,4.8,6.7,28.7,0
통영,2025-03-01,9.6,33.6,25.7,0.4,5.9,4.4,58.6,0
통영,2025-04-01,13.3,33.7,27.4,0.3,5,3.5,72.7,0
통영,2025-05-01,16.2,33.4,37.8,0.3,5,4.5,166.7,0
통영,2025-06-01,19.1,33.2,35,0.2,5,6.1,227.2,0
통영,2025-07-01,23.7,32.8,5.5,0.3,6.2,5.7,83.6,0
